행정구역,2026년04월_거주자_총인구수,2026년04월_거주자_연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시 성북구 (1129000000),"419,853","419,853","21,156","34,165","62,064","56,723","58,753","69,755","58,049","37,658","18,595","2,874",61
서울특별시 성북구 성북동(1129052500),"15,343","15,343",532,966,"2,294","2,501","2,003","2,618","2,110","1,371",785,155,8
서울특별시 성북구 삼선동(1129055500),"21,478","21,478",662,"1,478","4,024","3,008","2,674","3,697","2,858","1,843","1,089",140,5
서울특별시 성북구 동선동(1129057500),"14,734","14,734",330,913,"4,648","2,400","1,608","1,807","1,415",937,576,96,4
서울특별시 성북구 돈암제1동(1129058000),"13,586","13,586",605,939,"1,633","1,829","1,654","2,398","2,240","1,471",694,122,1
서울특별시 성북구 돈암제2동(1129059000),"22,691","22,691","1,465","2,417","2,497","2,718","3,538","4,198","3,118","1,729",819,188,4
서울특별시 성북구 안암동(1129060000),"15,496","15,496",331,879,"5,793","2,155","1,332","1,834","1,523",978,571,100,0
서울특별시 성북구 보문동(1129061000),"15,665","15,665",803,965,"2,346","2,751","2,178","2,614","2,084","1,228",594,100,2
서울특별시 성북구 정릉제1동(1129062000),"17,384","17,384","1,026","1,616","2,125","2,254","2,621","2,958","2,291","1,591",790,112,0
서울특별시 성북구 정릉제2동(1129063000),"21,378","21,378","1,006","1,470","2,682","2,823","2,848","3,664","3,405","2,222","1,084",170,4
서울특별시 성북구 정릉제3동(1129064000),"13,812","13,812",346,893,"3,399","1,617","1,317","1,909","2,009","1,438",762,122,0
서울특별시 성북구 정릉제4동(1129065000),"23,304","23,304",976,"1,784","2,915","2,740","3,120","4,195","3,658","2,514","1,220",174,8
서울특별시 성북구 길음제1동(1129066000),"35,236","35,236","2,616","5,162","3,453","3,770","6,763","6,375","3,412","2,362","1,164",158,1
서울특별시 성북구 길음제2동(1129068500),"21,241","21,241","1,770","2,130","2,417","2,774","3,669","3,670","2,509","1,567",623,109,3
서울특별시 성북구 종암동(1129070500),"36,583","36,583","1,755","3,114","5,229","4,622","5,101","6,075","5,263","3,282","1,785",350,7
서울특별시 성북구 월곡제1동(1129071500),"24,387","24,387","1,347","2,220","2,526","3,061","3,673","4,185","3,607","2,421","1,204",138,5
서울특별시 성북구 월곡제2동(1129072500),"18,348","18,348",673,"1,258","3,280","2,614","2,227","2,789","2,618","1,819",917,150,3
서울특별시 성북구 장위제1동(1129076000),"22,442","22,442","1,182","1,672","2,611","3,095","3,166","3,912","3,670","2,082",937,114,1
서울특별시 성북구 장위제2동(1129077000),"15,569","15,569",705,867,"1,878","2,574","1,991","2,554","2,397","1,735",754,114,0
서울특별시 성북구 장위제3동(1129078000),"18,623","18,623","1,643","1,564","2,145","2,781","3,141","3,022","2,413","1,346",497,70,1
서울특별시 성북구 석관동(1129081000),"32,553","32,553","1,383","1,858","4,169","4,636","4,129","5,281","5,449","3,722","1,730",192,4
